id,text,label,Comments
2446,"Ten aanzien van het niet openbaar maken van de notulen van de ministerraad verklaar ik het bezwaar ongegrond en handhaaf ik mijn besluit van 3 maart 2021. DE MINISTER-PRESIDENT, Minister van Algemene Zaken, namens deze, Secretari-Generaal drs. G.J. Buitendijk Beroepsclausule U kunt tegen deze beschikking beroep instellen bij de sector bestuursrecht van de rechtbank binnen het rechtsgebied waar uv woonachtig bent.",afgewezen,
2447,"Ik heb besloten aan uw verzoek tegemoet te komen en de informatie waarom u verzocht openbaar te maken, met uitzondering van de daarin vermelde persoonsgegevens. Op grond van artikel 10, tweede lid, aanhef en onder e‚, van de Wob blijft verstrekking van informatie achterwege voor zover het belang daarvan niet opweegt tegen het belang dat de persoonlijke levenssfeer wordt geëerbiedigd. In de email staan persoonsgegevens. Ik ben van oordeel dat t.a.v.",deels openbaar,
2448,"Ik heb besloten aan uw verzoek tegemoet te komen en de informatie waarom u verzocht openbaar te maken, met uitzondering van de daarin vermelde persoonsgegevens. Op grond van artikel 10, tweede lid, aanhef en onder e‚ van de Wob blijft verstrekking van informatie achterwege voor zover het belang daarvan niet opweegt tegen het belang dat de persoonlijke levenssfeer wordt geëerbiedigd. In de email staan persoonsgegevens.",deels openbaar,
2449,"Ik heb besloten aan uw verzoek tegemoet te komen en de informatie waarom u verzocht openbaar te maken, met uitzondering van de daarin vermelde persoonsgegevens en enkele vergaderingskoppelingen. De eerbiediging van de persoonlijke levenssfeer Op grond van artikel 10, tweede lid, aanhef en onder e‚, van de Wob blijft verstrekking van informatie achterwege voor zover het belang daarvan niet opweegt tegen het belang dat de persoonlijke levenssfeer wordt geëerbiedigd. In de verslagen staan persoonsgegevens. Ik ben van oordeel dat t.a.v.",deels openbaar,
2450,"Ik heb besloten aan uw verzoek tegemoet te komen en de informatie waarom u verzocht openbaar te maken, met uitzondering van de daarin vermelde persoonsgegevens en enkele vergaderingskoppelingen. Persoonlijke levenssfeer Op grond van artikel 10, tweede lid, aanhef en onder e, van de Wob blijft verstrekking van informatie achterwege voor zover het belang daarvan niet opweegt tegen het belang dat de persoonlijke levenssfeer wordt geëerbiedigd. In de verslagen staan persoonsgegevens. Ik ben van oordeel dat t.a.v.",deels openbaar,
2451,"De notulen van de ministerraad besluit ik niet openbaar te maken met een beroep op de artikelen 10 tweede lid, onder g, en ti van de Wob Voor mijn overwegingen verwijs tk u naar de navolgende almea’s.",afgewezen,
2452,"Gelet op hetgeen hiervoor is overwogen, verklaar ik uw bezwaar ongegrond en handhaaf ik mijn besluit van 7 juni 2021. DE MINISTER-PRESIDENT, Minister van Algemene Zaken, namens deze, De Secretaris-Generaal, ijk Beroepsclausule U kunt tegen deze beschikking beroep instellen bij de sector bestuursrecht van de rechtbank binnen het rechtsgebied waar u woonachtig bent. Het beroepschrift moet binnen zes weken na de dag waarop de beschikking aan u is toegezonden door de rechtbank zijn ontvangen. U kunt ook digitaal beroep instellen via http://loket.rechtspraak.nl/bestuursrecht.",afgewezen,
2453,"De conclusies van de MCSP besluit ik niet openbaar te maken met een beroep op de artikelen 10 tweede lid, onder g, en 11 van de Wob. Voor mijn overwegingen verwijs ik u naar de navolgende alinea's.",afgewezen,
2454,Ik besluit de door u gevraagde informatie openbaar te maken. Ik licht mijn besluit hieronder toe. Wettelijk kader Per 1 mei 2022 ts de Wet open overheid (hierna: de Woo) als opvolger van de Wet openbaarheid van bestuur in werking getreden. In de Woo is geen overgangsrecht neergelegd ten aanzien van verzoeken die voor 1 mei 2022 zijn ingediend.,deels openbaar,
2455,"Uw verzoek valt niet onder de reikwijdte van de Wet open overheid (Woo). De reden daarvoor is als volgt. Motivering De door u opgevraagde informatie is reeds openbaar gemaakt bij de beantwoording van Kamervragen en is daarmee voor een ieder toegankelijk. De Woo is niet van toepassing op deze informatie, omdat de Woo alleen van toepassing is op informatie die nog niet openbaar is.",afgewezen,
