id,text,label,Comments
318,"De notulen van de ministerraad besluit ik niet openbaar te maken met een beroep op de artikelen 10 tweede lid, onder g, en 11 van de Wob. Voor mijn overwegingen verwijs ik u naar de navolgende alinea’s. Overwegingen Artikel 10, tweede lid, onder g, van de Wob Op grond van artikel 10, tweede lid, aanhef en onder g, van de Wob blijft verstrekking van informatie achterwege voor zover het belang daarvan niet opweegt tegen het belang van het voorkomen van onevenredige bevoordeling of benadeling van bij de aangelegenheid betrokken natuurlijke personen of rechtspersonen dan wel van derden. Voor de ministerraad geldt dat een vrije en onbelemmerde uitwisseling van argumenten van wezenlijk belang is voor het goed kunnen uitvoeren van de werkzaamheden.",afgewezen,
319,Ik heb besloten uw verzoek af te wijzen aangezien er geen documenten aanwezig zijn met de door u gevraagde informatie.,niet aanwezig,
320,Ik heb besloten uw verzoek af te wijzen aangezien er geen documenten aanwezig zijn met de door u gevraagde informatie.,niet aanwezig,
321,Ik heb besloten uw verzoek af te wijzen aangezien er geen documenten aanwezig zijn met de door u gevraagde informatie.,niet aanwezig,
322,"De notuten van de ministerraad besluit ik niet openbaar te maken met een beroep op de artikelen 10 tweede lid, onder g, en 11 van de Wob. Voor mijn overwegingen verwijs ik u naar de navolgende alinea's. Overwegingen Artikel 10, tweede lid, onder g, van de Wob Op grond van artikel 10, tweede lid, aanhef en onder g, van de Wob blijft verstrekking van informatie achterwege voor zover het belang daarvan niet opweegt tegen het belang van het voorkomen van onevenredige bevoordeling of benadeling van bij de aangelegenheid betrokken natuurlijke personen of rechtspersonen dan wel van derden.",afgewezen,
323,"Ik heb besloten uw verzoek af te wijzen aangezien er geen documenten aanwezig zijn met de door u gevraagde informatie. Wijze van openbaarmaking Dit besluit wordt geanonimiseerd op www.rijksoverheid.nl geplaatst. DE MINISTER-PRESIDENT, Minister van Algemene Zaken, namens deze, de plv. Secretaris-Ministerraad W.W.",niet aanwezig,
324,"Er zijn geen documenten aangetroffen. \ DE MINISTER-PRESIDENT, \Minister van Algemene Zaken, Belanghebbenden kunnen binnen zes weken na de dag waarop dit besluit is bekend gemaakt hiertegen schriftelijk bezwaar maken, onder vermelding van de gronden, bij de secretaris-generaal van het ministerie van Algemene Zaken.",niet aanwezig,
325,"Ik heb besloten uw verzoek af te wijzen aangezien er geen documenten aanwezig zijn met de door u gevraagde informatie. DE MINISTER-PRESIDENT, Minister van Alge namens deze, Plv. Secretaris-Generaa dr.mr. L.",niet aanwezig,
326,"Uw verzoek heeft betrekking op informatie die niet aanwezig is. Daarom wijs ik uw verzoek om informatie af. Motivering Ingevolge artikel 2.1, gelezen in samenhang met artikel 4.1, eerste lid, van de Woo, kan eenieder een verzoek om informatie neergelegd in documenten over een bestuurlijke aangelegenheid richten tot een bestuursorgaan. De verplichting tot openbaarmaking van documenten geldt uiteraard niet indien er bij het bestuursorgaan geen stukken aanwezig zijn die de gevraagde informatie bevatten.",niet aanwezig,
327,"Uw verzoek heeft betrekking op informatie die niet bij mij aanwezig is. Daarom wijs ik uw verzoek om informatie af. Motivering Ingevolge artikel 2.1, gelezen in samenhang met artikel 4.1, eerste lid, van de Woo, kan eenieder een verzoek om informatie neergelegd in documenten over een bestuurlijke aangelegenheid richten tot een bestuursorgaan. De verplichting tot openbaarmaking van documenten geldt uiteraard niet indien er bij het bestuursorgaan geen stukken aanwezig zijn die de gevraagde informatie bevatten.",niet aanwezig,
