id,text,label,Comments
1,"Omdat er opnieuw geen documenten zijn aangetroffen verklaar ik het bezwaar ongegrond en‘handhaaf ik mijn besluit van 24 maart 2021. DE MINISTER-PRESIDENT, Minister van Algemene Zaken, namans deze, De ecretaris-Generaal, hire G L/Rultendijk Beroepsclausule U kunt tegen deze beschikking beroep instellen bij de sector bestuursrecht van de rechtbank binnen het rechtsgebied waar u woonachtig bent. Het beroepschrift moet binnen zes weken na de dag waarop de beschikking aan u is toegezonden door de rechtbank zijn ontvangen. U kunt ook digitaal beroep instellen via http;//loket.rechtspraak.nl/bestuursrecht.",afgewezen,
2,Ik heb besloten aan uw verzoek tegemoet te komen en de informatie waarom u verzocht openbaar te maken.,openbaar,
3,Ik heb besloten aan uw verzoek tegemoet te komen en de informatie waarom u verzocht openbaar te maken.,openbaar,
4,Gelet op het bovenstaande verklaar ik uw bezwaar gegrond. De gevraagde documenten besluit ik alsnog (gedeeltelijk) openbaar te maken. Voor de informatie die niet openbaar wordt gemaakt verwijs ik u naar het hiervoor gestelde bij de bespreking van de bezwaargronden. De documenten treft u als bijlage bij deze beslissing op bezwaar aan.,deels openbaar,
5,"Ik besluit de relevante passages in de verslagen van het SGO openbaar te maken. Wijze van openbaarmaking Dit besluit wordt geanonimiseerd op www.rijksoverheid.nl geplaatst. DE MINISTER-PRESIDENT, Minister van Alg namens deze, Plv. Secretaris-Ge dr.mr.",deels openbaar,
6,"Ten aanzien van de verzoeken I, FI en III U refereert in uw verzoek aan uitspraken die de heer Rutte op 10 mei 2021 heeft gedaan in het programma Nieuwsuur. De heer Rutte werd in dit programma geïnterviewd als leider van de VVD. Dit is geen bestuurlijke aangelegenheid van het ministerie van Algemene Zaken. Deze verzoeken vallen dan ook niet onder de Wob en moeten om deze reden worden afgewezen.",afgewezen,
7,Ik wijs uw verzoek om informatie af. Ik licht mijn besluit hieronder nader toe. Motivering Op grond van artikel 2.1 van de Woo kan enkel worden verzocht om openbaarmaking van documenten die naar hun aard verband houden met de publieke taak van het orgaan. U heeft gevraagd om openbaarmaking van het digitale berichtenverkeer tussen de verkenner en de Minister-President over de verkenning en de (in)formatie ten behoeve van de vorming van een nieuwe coalitie over de periode 17 maart 2021 tot en met 10 januari 2022.,afgewezen,
8,"Ik heb naar aanleiding van uw verzoek om informatie, besloten één document openbaar te maken op grond van de Wob. Zesentwintig documenten maak ik integraal niet openbaar, omdat de informatie daarin vertrouwelijke informatie betreft die in vertrouwen door een andere staat met Nederland werd gedeeld. Voor de motivering verwijs ik naar onderdeel ‘Overwegingen’ van dit besluit. In de inventarisatielijst is opgenomen welk document (gedeeltelijk) openbaar wordt gemaakt en welke documenten niet openbaar worden gemaakt.",deels openbaar,
9,"Ik heb besloten aan uw verzoek tegemoet te komen en de informatie waarom u verzocht openbaar te maken, zulks behoudens wettelijke weigeringsgronden. Overwegingen Algemene overweging: openbaarheid t.a.v. een ieder Allereerst wil ik u wijzen op het volgende. Ingevolge artikel 3, vijfde lid, van de Wob, wordt een verzoek om informatie ingewilligd met inachtneming van het bepaalde in de artikelen 10 en 11 van de Wob.",openbaar,
11,Uw verzoek wordt volledig ingewilligd. Ik besluit de door u gevraagde informatie openbaar te maken. Overwegingen Iedereen heeft het recht om overheidsinformatie op te kunnen vragen zonder daarbij een reden te hoeven aangeven. Dit staat in het eerste artikel 1.1.,openbaar,
13,"In antwoord op uw verzoek besluit ik het aantal landingen In 2020 waarbij een bocht van 90 graden gemaakt is met de onderstaande tabel openbaar te maken. 90 graden Straight-in Totaal Vanuit oostelijke richting, linksom | 00 10 Vanuit oostelijke richting, rechtsom 00 0 Vanuit westelijke richting, linksom 85 40 | 125 “Vanuit westelijke richting, rechtsom 245 #71 #4416 ~~ Totaal | 330 211 ‚541 Pagina 1 van 2 Bestuursstaf Directie Communicatie Locatie Den Haag - Plein- Kalvermarktc. Kalvermarkt 32 's-Gravenhage Postadres Kalvermarkt 38 2511 CB 'S-GRAVENHAGE MPC 5856 Contactpersoon Kap mr. RJ.",openbaar,
15,Ik maak de door u gevraagde cijfers over de controles van personen voor en na grensoverschrijding en over de toegangsweigering van vreemdelingen openbaar. Deze cijfers vindt u terug in de acht bijlagen bij dit besluit. Ik licht hierna de cijfers in deze bijlagen toe. Uitleg cijfers Bijlagen 1 tot en met 7 betreffen cijfers over vreemdelingen aan wie op grond van artikel 14 van de Schengengrenscode of artikel 3 van de Vreemdelingenwet 2000 de toegang tot het Schengengebied is geweigerd.,openbaar,
16,"In dit besluit verstrek ik u een overzicht van de titel of omschrijving waaronder de minister de kosten aan de landsadvocaat, mr. Pasman en Joling B.V. heeft geadministreerd (zie tabel 1) en een overzicht (met specificatie) van de gemaakte kosten die de minister aan de landsadvocaat heeft voldaan (zie tabel 2). Ik heb besloten deze overzichten en de door mr.",deels openbaar,
17,"Het overzicht van hoe vaak de Beam in het jaar 2021 is uitgevoerd, besluit ik hierbij openbaar te maken. at rwvoslojijefulsfelsjolelij ol 14 await [a liefz2felefel 2 lez 2 | eer EE Beam approaches Vliegbasis Eindhoven 2021 Ik vertrouw erop u hiermee voldoende te hebben geïnformeerd. Hoogachtend, De Minister van Defensie voor deze De Sécretaris-Generaal. ( mr\G.E.A.",openbaar,
18,In antwoord op uw verzoek is een overzicht gegenereerd van aantallen externe expertise onderzoeken dat het team SMO van APG Bijzondere regelingen Defensie in het kader van de uitvoering van de in het mandaatbesluit genoemde regelingen heeft uitgezet vanaf 2017. Dit overzicht besluit ik volledig openbaar te maken.,openbaar,
19,In antwoord op uw verzoek verstrek ik bijgaand een overzicht van het aantal militairen met een effectieve rang van adjudant per operationeel commando met een financiële rang van majoor / luitenant ter zee der eerste klasse. In onderstaande tabel is deze informatie opgenomen. Volledigheidshalve merk ik daarbij op dat de terminologie ‘financiële rang’ onbekend is binnen de militaire rechtspositie. .OPCO .,openbaar,
21,"Overzicht van personeel binnen de luchtverkeersleiding van de Koninklijke Luchtmacht dat een bindingspremie is toegekend, in relatie tot de gestelde eisen in de nota toekenning bindingspremie; Overzicht van het verloop van opleidingen binnen de luchtverkeersleiding van de Koninklijke Luchtmacht en hoeveel opleidingen zijn gestopt, langer hebben geduurd, zijn uitgestel of onmogelijk zijn geweest door personele onderbezetting. Ik besluit de door u gevraagde informatie openbaar te maken. De informatie is hieronder opgenomen. Ten aanzien van vraag 1 In de periode 2018 tot en met de datum van uw verzoek zijn diverse bindingspremies toegekend.",openbaar,
22,"Ik besluit de door u gevraagde informatie openbaar te maken. Die informatie Is hieronder opgenomen. In de periode 2017 tot en met 2021 zijn er in totaal 2.838 uitbetalingen gedaan aan commissieleden, De volgende bedragen zijn met die betalingen gemoeid. - 2017: € 160.014,03 - 2018: € 360.069,97 - 2019: € 182.239,95 - 2020: € 308.655,32 - 2021: € 456.687,92 De binnen Defensie geldende controlesystematiek houdt in dat een commissielid een declaratieformulier invult, welke vervolgens wordt gecontroleerd en getekend door het bevoegd gezag.",openbaar,
23,"De financiële gegevens over de uitbetalingen van de schadevergoeding die door het ministerie van Defensie zijn gedaan, besluit ik met de onderstaande tabel openbaar te maken. Aantal betalingen Totaal 2021 — | aug ae 21 € _235.000,00 sep 35 € 350.029,80 okt OO 24 € 260.000,00 nov 26 € 270.000,00 dec 62 € 605.000,00 2022 On jan 76 € 760.028,77 feb 51 € 485.121,00 mrt 35 € 300.199,23 apr 111 € _1.060.248,05 mei 31 € 250.053,00 jun 0 87 € 825.053,25 jul 58 € 520.093,82 aug 2 € 10.369,95 Eindtotaal 619 € 5.931.196,87 Toelichting Op 15 augustus waren er 566 verzoeken betaald. In de bovenstaande tabel ziet u het aantal betalingen per maand en de corresponderende uitgaande bedragen.",openbaar,
24,"Ik besluit de rapportage commissie van ongeval TukTuk, de appreciatie onderzoek ongeval tijdens thuisfrontdag Personeelslogistiek Commando TukTuk, de nota mitigerende maatregelen n.a.v. ongeval met TukTuk bij Defensieorganisatie Thuisfront en het addendum ongeval met TukTuk tijdens vrijwilligersdag d.d. 16 april 2016 openbaar te maken. Persoonsgegevens maak ik niet openbaar.",deels openbaar,
25,Document 1 is reeds openbaar. De Woo is niet van toepassing op informatie die reeds openbaar is. Dit document kunt u hier vinden: https://www.rijksoverheid.nl/documenten/publicaties/2022/04/01/rijksbrede- instructie-voor-het-behandelen-van-woo-verzoeken. Document 2 maak ik volledig openbaar.,openbaar,
26,Van de voorgenoemde documenten is enkel document 2 niet openbaar. Dit document besluit ik volledig openbaar te maken. Pagina 1 van 2 Bestuursstaf Directie Communicatie Locatie Den Haag - Plein- Kalvermarktc. Kalvermarkt 32 ‘s-Gravenhage Postadres Kalvermarkt 38 2511 CB 'S-GRAVENHAGE MPC 585 Contactpersoon Kap mr.,openbaar,
27,"Ik besluit bijgaand overzicht openbaar te maken. In het overzicht is, zoals met u besproken, onderscheid gemaakt in burgerpersoneel (BP) en militair personeel (MP), de duur van de waarneming en de tijd die ligt tussen de beëindiging van de waarneming en de plaatsing/bevordering. Ik vertrouw erop u hiermee voldoende te hebben geïnformeerd. Hoogachtend, De Minister van Defensie voor dez De Secrebpris-Genesaal, mr.",openbaar,
28,"door Veiligheidsregio Rotterdam Rijnmond - reeds openbaar Op 21 juni 2022 heeft de Veiligheidsregio Rotterdam Rijnmond (VRR) een bestuit genomen op een door u ingediend Woo-verzoek dat op hetzelfde onderwerp ziet als het onderhavige verzoek. De VRR heeft de documenten 56, 58 en 60 - zoals opgenomen op de inventarislijst bij dit besluit — reeds bij de besluitvorming op dat Woo-verzoek betrokken. De informatie in die documenten heeft de VRR gedeeltelijk openbaar gemaakt. De Woo is niet van toepassing op informatie die reeds openbaar is.",deels openbaar,
29,"Ik besluit het onderstaande overzicht, waarin de tijdsduur tussen de bevordering van tweede luitenant naar eerste luitenant over de jaren 2020, 2021 en 2022 per krijgsmachtdeel vermeld is, openbaar te maken.",openbaar,
30,"In antwoord op uw verzoek besluit ik hierbij het door u gevraagde overzicht openbaar te maken. Ik vertrouw erop u hiermee voldoende te hebben geinformeerd. Hoogachtend, De Minister van Defensie voor deze De Secretfis-Gegeraal, mr. G.E.A.",openbaar,
32,"Ik besluit bijgaande kaarten openbaar te maken. Ik vertrouw erop u hiermee voldoende te hebben geïnformeerd. Hoogachtend, De Minister van Defensie voor deze De Secrefpris-Generaal, _mr. G.§f.A.",openbaar,
