,besluit,bijlage,inventaris,verzoek,dc_source,foi_decisionDate,verzoek_datum,deelbesluit,bezwaren,mate van openbaarmaking,opmerkingen
https://doi.wooverheid.nl/?doi=nl.mnre1013.2i.2023.121,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/40cd5d79-ba2c-444b-be5d-72ed861c9e9e/1,2023-11-24,2023-10-25,,,niet openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.104,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/1a3ca6ae-bd7b-4d96-b864-25c4bc3bea65/1,2023-07-25,2023-06-26,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.106,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/7080abeb-b4e7-4240-90c2-5dd553a774cd/1,2023-08-07,2023-06-13,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.22,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-fa8c92f24e1d5b547615fe8f9f9f392acb224fdc/1,2023-05-01,2023-01-17,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.32,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/356740d2-6421-49f3-9de7-29617f0ee247/1,2023-06-07,2023-02-06,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.43,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/3084dfba-497c-4b3f-a3ed-8da07f155103/1,2023-07-13,2023-05-23,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1018.2i.2023.44,TRUE,FALSE,FALSE,FALSE,https://open.overheid.nl/Details/e9d670f4-2de9-460a-9df1-b3aed2abaf20/1,2023-07-19,2023-05-25,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.11,TRUE,TRUE,FALSE,FALSE,https://open.overheid.nl/Details/ronl-1e351b16c1be46fb45866a025c9725c4eeac113d/1,2023-03-23,2022-12-03,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.199,TRUE,TRUE,TRUE,FALSE,https://open.minvws.nl/dossier/3697817-1053825-pdo,2023-09-28,2022-05-01,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.200,TRUE,TRUE,TRUE,FALSE,https://open.minvws.nl/dossier/3695364-1053565-pdo,2023-09-22,2022-05-01,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.201,TRUE,TRUE,TRUE,FALSE,https://open.minvws.nl/dossier/3573889-1046310-PDO,2023-09-06,2022-05-01,,,gedeeltelijk openbaar,
https://doi.wooverheid.nl/?doi=nl.mnre1025.2i.2023.204,TRUE,TRUE,TRUE,FALSE,https://open.minvws.nl/dossier/3551818-1045128-pdo,2023-03-30,2022-05-01,,,gedeeltelijk openbaar,
