id,text,label,Comments
2919,Uw verzoek heeft betrekking op informatie die niet bij mij aanwezig is. Daarom wijs ìk uw verzoek om informatie af. Motivering Ingevolge artikel 2.,niet aanwezig,
2920,Ik besluit de door u gevraagde informatie deels openbaar te maken. Ik licht mijn besluit hieronder toe. Overwegingen Als eerste wil ik u wijzen op het volgende.,deels openbaar,
2921,Ik bestuit de door u gevraagde documenten gedeeltelijk openbaar te maken. Mijn besluit licht ik hieronder toe. Overwegingen Als eerste wil ik u wijzen op het volgende.,deels openbaar,
2922,Ik heb besloten uw verzoek gedeeltelijk te honoreren en daarbij een aantal documenten deels openbaar te maken. Voor de motivering verwijs ik u naar het onderdeel ‘Overwegingen’ in dit besluit. De inventarislijst maakt integraal onderdeel uit van dit besluit.,deels openbaar,
2923,"De Woo heeft betrekking op openbaarmaking van informatie die neergelegd is in documenten. Alleen bestaande documenten vallen onder de Woo; als documenten niet bestaan, kan Ik deze niet openbaar maken. Ik kan uw verzoek niet inwilligen.",niet aanwezig,
2924,"Ik besluit de documenten openbaar te maken, met uitzondering van de persoonsgegevens die daarin staan. Overwegingen Op grond van artikel 5.1, tweede lid, aanhef en onder e, van de Woo kan ik geen informatie openbaar maken als dit de persoonlijke levenssfeer schaadt en dit belang zwaarder weegt dan het belang van openbaarheid.",deels openbaar,
2925,Ik besluit de door u gevraagde documenten niet openbaar te maken. De documenten die vallen onder de eerste twee punten van uw verzoek worden geweigerd op grond van art. 5.,afgewezen,
2926,Ik neem uw verzoeken niet in behandeling. 2. Motivering Op basis van artikel 4.,afgewezen,
2927,"op bezwaar Ik verklaar uw bezwaar gegrond, omdat u terecht aangeeft dat uit het instellen van een beroep niet tijdig beslissen niet geconcludeerd kan worden dat u niet (langer) bereid zou zijn om mee te werken aan een precisering van het verzoek. Daarnaast is uit verdere bestudering van de documenten gebleken dat aan de hand van uw verzoek en de naar aanleiding daarvan gevonden documenten beslist kan worden over de openbaarheid van deze documenten. Gelet op het voorgaande verklaar ik uw bezwaar gegrond en herroep ik het bestreden besluit.",afgewezen,
2928,Uw verzoek heeft deels betrekking op informatie die reeds openbaar is en deels op informatie die niet bij mij aanwezig is. Daarom wijs ik uw verzoek om informatie af. Motivering Ingevolge artikel 2.,niet aanwezig,
2930,"Ik verklaar uw bezwaar niet-ontvankelijk, omdat uw bezwaarschrift niet de gronden van bezwaar bevat. Juridisch kader Voor de relevante wetsartikelen verwijs ik naar de artikelen 1:3, 6:5, 7:1, 7:3 en B:t van de Algemene wet bestuursrecht (hierna: Awb) Overwegingen Ingevolge artikel 6:5 van de Awb moet een bezwaarschrift aan een aantal eisen voldoen. Eén van deze eisen is dat het bezwaarschrift de gronden van bezwaar bevat.",afgewezen,
2931,Het sms-bericht maak ík niet openbaar. Het betreft een bericht aan de minister- president en een ambtenaar van het ministerie van Algemene Zaken van zijn politiek assistent. Dit bericht bestaat uit de opvattingen van twee bewindspersonen over de eenheid van het kabinetsbeleid.,afgewezen,
2932,"Ik besluit de twee genoemde documenten openbaar te maken, met uitzondering van de persoonsgegevens die daarin staan. Overwegingen Op grond van artikel 5.1, tweede lid, aanhef en onder e‚ van de Woo kan ik geen informatie openbaar maken als dit de persoonlijke levenssfeer schaadt en dit belang zwaarder weegt dan het belang van openbaarheid.",deels openbaar,
2933,"Ik besluit het gefactureerde totaalbedrag openbaar te maken. De facturen zelf maak ik geheel niet openbaar, omdat na het toepassen van de relevante uitzonderingsgronden is gebleken dat deze geen inhoudelijk relevante informatie meer bevatten. De opdrachtbevestigingen kan ik niet openbaar maken, omdat Ik deze niet heb.",deels openbaar,
2934,Uw verzoek heeft betrekking op informatie die niet bij mij aanwezig is. Daarom wijs ik uw verzoek om informatie af. Motivering Ingevolge artikel 2.,niet aanwezig,
2935,Ik verklaar uw bezwaarschrift niet-ontvankelijk omdat het niet voldoet aan de vereisten van art. 6:5 Awb.,afgewezen,
2936,"Ik besluit de door u gevraagde informatie in het geheel niet openbaar te maken. Overwegingen Op grond van artikel 5,1, tweede lid, aanhef en onder a, van de Woo kan ik geen informatie openbaar maken als dit de relatie van Nederland met andere landen, staten of internationale organisaties beschadigt en dit belang zwaarder weegt dan het belang van openbaarheid. Ook in het internationale contact is openbaarheid en transparantie steeds gebruikelijker en belangrijker voor het goede functioneren van de democratische rechtsorde.",afgewezen,
2937,"Ik besluit de door u gevraagde informatie in het geheel niet openbaar te maken. Overwegingen Op grond van artikel 5,1, tweede lid, aanhef en onder a, van de Woo kan ik geen informatie openbaar maken als dit de relatie van Nederland met andere landen, staten of internationale organisaties beschadigt en dit belang zwaarder weegt dan het belang van openbaarheid. Ook in het internationale contact is openbaarheid en transparantie steeds gebruikelijker en belangrijker voor het goede functioneren van de democratische rechtsorde.",afgewezen,
2938,Ik besluit de door u gevraagde informatie niet openbaar te maken en licht mijn besluit hieronder toe. Inventarisatie documenten In het kader van uw verzoek zijn verscheidene documenten aangetroffen. De documenten zijn niet opgenomen in een inventarislijst.,afgewezen,
2939,"Ik besluit de door u gevraagde informatie openbaar te maken. Wijze van openbaarmaking en publicatie Het document dat openbaar wordt, wordt samen met deze brief digitaal aan u toegezonden. Dit besluit en het document dat voor iedereen openbaar wordt, wordt op www.",openbaar,
2940,Ik besluit de door u gevraagde informatie gedeeltelijk openbaar te maken. Overwegingen Als eerste wil ik u wijzen op het volgende. Iedereen heeft het recht om overheidsinformatie op te kunnen vragen zonder daarbij een reden te hoeven aangeven.,deels openbaar,
2942,"Ik besluit een deel van de door u gevraagde informatie openbaar te maken, met uitzondering van de persoonsgegevens die daarin staan. Daarnaast maak ik de namen van een aantal e-mailpostbussen, een tweetal e-mails, twee conceptbesluiten, een verweerschrift niet openbaar en een tweetal passages uit e- mails. Overwegingen Processtukken Gelet op de bijlage bij artikel 8.",deels openbaar,
2943,Ik wijs uw verzoek om informatie af. Ik licht mijn besluit hieronder nader toe. Motivering Op grond van artikel 2.,afgewezen,
2944,"Ik besluit de door u gevraagde informatie openbaar te maken. Wijze van openbaarmaking en publicatie Het document dat openbaar wordt, wordt samen met deze brief digitaal aan u toegezonden. Dit besluit en het document dat voor iedereen openbaar wordt, wordt op www.",openbaar,
2945,Uw verzoek heeft betrekking op informatie die niet bij mij aanwezig is. Daarom wijs ik uw verzoek om informatie af. Motivering Ingevolge artikel 2.,niet aanwezig,
2946,Ik heb besloten (deels) aan u verzoek tegemoet te komen. Onder het kopje ‘Overwegingen’ van dit besluit licht ik dit toe. Overwegingen Algemene overweging: openbaarheid t.,deels openbaar,
2947,"Uw verzoek wordt gedeeltelijk ingewilligd. Ik heb in mijn beoordeling getracht zo transparant mogelijk te zijn, Er doet zich echter een aantal uitzonderingsgronden en beperkingen voor zoals genoemd in de Woo, die een beperkte kennisname van hetgeen in het document is opgenomen, rechtvaardigen. Voor de motivering hiervan verwijs ik naar het onderdeel ‘Overwegingen’ van dit besluit.",deels openbaar,
2949,Ik heb besloten (deels) aan u verzoek tegemoet te komen. Onder het kopje ‘Overwegingen’ van dit besluit licht ik dit toe. Overwegingen Algemene overweging: openbaarheid t.,deels openbaar,
2950,"Uw verzoek wordt gedeeltelijk ingewilligd. Er doet zich een aantal uitzonderingsgronden en beperkingen voor zoals genoemd in de Woo, die een beperkte kennisname van hetgeen in het document is opgenomen rechtvaardigen. Voor de motivering hiervan verwijs ik naar het onderdeel ‘Overwegingen’ van dit besluit.",deels openbaar,
2951,"Uw verzoek wordt gedeeltelijk ingewilligd. Er doet zich een aantal uitzonderingsgronden en beperkingen voor zoals genoemd in de Woo, die een beperkte kennisname van hetgeen in het document is opgenomen, Ministerie van Buitenlandse Zaken Nederlandse ambassade in Beiroet Rijnstraat 8 2515 XP Den Haag Postbus 20061 2500 EB Den Haag Nederland www.rijksoverheid.",deels openbaar,
2952,"Gelet op de inhoud van het bezwaarschrift, beoordeeld in samenhang met het bestreden besluit, kan het bezwaar niet leiden tot een andersluidend besluit. Uw bezwaar wordt dan ook ongegrond verklaard. Wijze van openbaarmaking Een geanonimiseerde versie van dit besluit wordt geplaatst op Documenten | Rijksoverheid.",afgewezen,
2953,Ik heb besloten (deels) aan uw verzoek tegemoet te komen en de informatie waarom u verzocht (deels) openbaar te maken. Bij het niet openbaar maken van (passages uit) documenten heb ik de volgende Woo-artikelen toegepast: - artikel 5.1.,deels openbaar,
2954,"Ik willig uw verzoek gedeeltelijk in. Er doet zich een aantal uitzonderingsgronden en beperkingen voor zoals genoemd in de Woo, die een beperkte kennisname van hetgeen in het document is opgenomen, rechtvaardigen. Voor de motivering hiervan verwijs ik naar het onderdeel ‘Overwegingen’ van dit besluit.",deels openbaar,
2955,"Uw verzoek wordt gedeeltelijk ingewilligd. Er doet zich een aantal uitzonderingsgronden en beperkingen voor zoals genoemd in de Woo, die een beperkte kennisname van hetgeen in het document is opgenomen, Ministerie van Buitenlandse Zaken Internationale Cultuur Eenheid Rijnstraat 8 2515 XP Den Haag Postbus 20061 2500 EB Den Haag Nederland www.rijksoverheid.",deels openbaar,
2958,"Ik heb besloten (deels) aan uw verzoek tegemoet te komen en de informatie waarom u verzocht (deels) openbaar te maken. Gedeeltelijk openbaar Bij het niet openbaar maken van (passages uit) documenten heb ik artikel 5.1, tweede lid, aanhef en onder e‚ van de Woo toegepast.",deels openbaar,
2959,"Ik willig uw verzoek gedeeltelijk in. Er doet zich een aantal uitzonderingsgronden en beperkingen voor zoals genoemd in de Woo, die een beperkte kennisname van hetgeen in het document is opgenomen, rechtvaardigen. Voor de motivering hiervan verwijs ik naar het onderdeel ‘Overwegingen’ van dit besluit.",deels openbaar,
2960,"Ik verklaar uw bezwaar ongegrond. Verloop van de procedure In uw e-mail van 9 augustus 2022, ontvangen op 9 augustus 2022, heeft u gevraagd om openbaarmaking van alle documenten met betrekking tot het Aanspreekpunt Potentiéle Buitenlandse Investeerders (hierna: APBI) over de periode 1995 tot en met 9 augustus 2022. Tot de gevraagde documenten behoren onder andere documenten die betrekking hebben op (het beleid over) de competentie van het APBI (waaronder de vraag wanneer sprake is van een potentieel buitenlandse investeerder), de modus operandi en werkwijze van het APBI (waaronder het functioneren als aanspreekpunt voor het Ministerie van EZ/NFIA, het Ministerie van Financién en collega’s van de Belastingdienst), (beleids-)evaluaties, jaar- en reisverslagen, nieuwsbrieven en overige uitingen van het APBI, en documenten over de inhoud van de gemaakte (typen) afspraken van het APBI met buitenlandse investeerder.",afgewezen,
2961,Uw verzoek wordt volledig ingewilligd. Ik besluit de door u gevraagde informatie openbaar te maken. Overwegingen Iedereen heeft het recht om overheidsinformatie op te kunnen vragen zonder daarbij een reden te hoeven aangeven.,openbaar,
2962,"Uw verzoek wordt gedeeltelijk ingewilligd. Er doet zich een aantal uitzonderingsgronden en beperkingen voor zoals genoemd in de Woo, die een beperkte kennisname van hetgeen in het document is opgenomen, rechtvaardigen. Ministerie van Buitenlandse Zaken Directie Juridische Zaken Rijnstraat 8 2515 XP Den Haag Postbus 20061 2500 EB Den Haag Nederland www.",deels openbaar,
