Document ID,Dagtekening,Verzoeksdatum,Besluit,Deelbesluit,Deelbesluit kenmerk,Verdaagd,Link
nl.mnre1153.2i.2023.652.doc.1,18 augustus 2023,29 juni 2023,deels openbaar,FALSE,None,FALSE,https://open.overheid.nl/documenten/52b9079f-feed-431e-9035-6569287792bc/file
nl.mnre1130.2i.2023.291.doc.1,28 Aug 2023,6 juli 2023,Ik heb besloten uw verzoek af te wijzen,FALSE,None,"3 augustus
2023 verdaagd met twee weken",https://open.overheid.nl/documenten/0ae82120-619e-4cd8-9a6c-95c601337639/file
nl.mnre1018.2i.2023.104.doc.1,25-7-2023,26 juni jl.,deels openbaar,FALSE,None,FALSE,https://open.overheid.nl/documenten/1a3ca6ae-bd7b-4d96-b864-25c4bc3bea65/file
nl.mnre1018.2i.2023.1.besluit.1,17-1-2023,30 November 2022,deels openbaar,FALSE,None,FALSE,https://www.rijksoverheid.nl/documenten/woo-besluiten/2023/01/17/besluit-op-woo-verzoek-over-exportvergunningen-en-exportkredietverzekeringen-asml-naar-china
nl.mnre1018.2i.2023.65.doc.1,22 Jun 2023,5 mei 2023,deels openbaar,FALSE,None,FALSE,https://open.overheid.nl/documenten/f476ce3d-6b8f-4027-8874-fe837d18f709/file
nl.mnre1010.2i.2023.10.doc.1,21 maart 2023,29 maart 2022,deels openbaar,22 augustus 2022 eerste deelbesluit,4276480,FALSE,https://open.overheid.nl/documenten/ronl-79e28a7720d902fbfc54fa4f5d72eced410e2482/pdf
nl.mnre1018.2i.2023.25.doc.1,23 Feb. 2023,26 augustus 2022,deels openbaar,FALSE,None,FALSE,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20capaciteitsproblematiek%20hoog%20risico%20profielen.pdf
nl.mnre1153.2i.2023.325.doc.1,6 juni 2023,12 December 2022,deels openbaar,FALSE,None,9 januari verdaagd,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20veetransporten%20van%20en%20naar%20Belgi_.pdf
nl.mnre1153.2i.2023.627.doc.1,30 mei 2023,None,openbaar,FALSE,None,FALSE,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20NVWA-gegevens%20controles%20op%20bestrijdingsmiddelen%20op%20groente%20en%20fruit.pdf
nl.mnre1010.2i.2023.5.doc.1,15 februari 2023,13 oktober 2022,deels openbaar,FALSE,None,FALSE,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20uitvoering%20uitspraak%20UTR%2021%203936%20openbaarmaking%20correspondentie.pdf
nl.mnre1058.2i.2023.30.besluit.1,29 januari 2015,None,None,FALSE,None,FALSE,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Openbaar%20te%20maken%20documenten.pdf
nl.mnre1153.2i.2023.304.doc.1,12 juni 2023,23 augustus 2022,deels openbaar,FALSE,None,19 september 2022 verdaagd tot 5 oktober,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoeken%20over%20de%20Uitvoeringsovereenkomst%20tussen%20de%20NVWA%20en%20Kwaliteitskeuring%20Dierlijke%20Sector.pdf
nl.mnre1153.2i.2023.74.besluit.1,24 februari 2023,14 juli 2021,deels openbaar,FALSE,None,FALSE,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Wob-Woo-verzoek%20over%20openbaarmaking%20beleid%20moederloze%20opfok%20van%20varkens.pdf
nl.mnre1153.2i.2023.37.besluit.1,30 januari 2023,24 oktober 2022,deels openbaar,FALSE,None,FALSE,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/woo-experiment-magnesiumzout-in-stal.pdf
nl.mnre1153.2i.2023.65.besluit.1,15 februari 2023,14 November 2022,deels openbaar,FALSE,None,FALSE,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20diertellingen%20op%20locaties%20Lewedorp%20en%20Goes.pdf
